Seq,DateListed,年度,族語方言別,級別,報名人數,應試人數,通過人數
1,"20211006","109","南勢阿美語","初級","405","277","103"
2,"20211006","109","南勢阿美語","中級","396","309","161"
3,"20211006","109","南勢阿美語","中高級","91","55","6"
4,"20211006","109","南勢阿美語","高級","30","25","0"
5,"20211006","109","南勢阿美語","優級","12","10","0"
6,"20211006","109","秀姑巒阿美語","初級","1145","809","254"
7,"20211006","109","秀姑巒阿美語","中級","704","536","361"
8,"20211006","109","秀姑巒阿美語","中高級","310","212","34"
9,"20211006","109","秀姑巒阿美語","高級","74","50","1"
10,"20211006","109","秀姑巒阿美語","優級","29","19","0"
11,"20211006","109","海岸阿美語","初級","2815","2107","597"
12,"20211006","109","海岸阿美語","中級","1417","1067","579"
13,"20211006","109","海岸阿美語","中高級","491","351","30"
14,"20211006","109","海岸阿美語","高級","85","63","0"
15,"20211006","109","海岸阿美語","優級","48","38","0"
16,"20211006","109","馬蘭阿美語","初級","751","586","201"
17,"20211006","109","馬蘭阿美語","中級","431","339","236"
18,"20211006","109","馬蘭阿美語","中高級","138","99","10"
19,"20211006","109","馬蘭阿美語","高級","36","30","2"
20,"20211006","109","馬蘭阿美語","優級","13","6","0"
21,"20211006","109","恆春阿美語","初級","106","85","36"
22,"20211006","109","恆春阿美語","中級","63","51","37"
23,"20211006","109","恆春阿美語","中高級","24","22","3"
24,"20211006","109","恆春阿美語","高級","4","3","0"
25,"20211006","109","恆春阿美語","優級","10","8","0"
26,"20211006","109","賽考利克泰雅語","初級","2351","1755","781"
27,"20211006","109","賽考利克泰雅語","中級","1342","1047","773"
28,"20211006","109","賽考利克泰雅語","中高級","417","249","20"
29,"20211006","109","賽考利克泰雅語","高級","58","35","11"
30,"20211006","109","賽考利克泰雅語","優級","37","27","2"
31,"20211006","109","四季泰雅語","初級","55","38","15"
32,"20211006","109","四季泰雅語","中級","62","51","30"
33,"20211006","109","四季泰雅語","中高級","20","14","1"
34,"20211006","109","四季泰雅語","高級","2","1","0"
35,"20211006","109","四季泰雅語","優級","0","0","0"
36,"20211006","109","澤敖利泰雅語","初級","376","275","115"
37,"20211006","109","澤敖利泰雅語","中級","166","136","93"
38,"20211006","109","澤敖利泰雅語","中高級","115","84","12"
39,"20211006","109","澤敖利泰雅語","高級","21","15","0"
40,"20211006","109","澤敖利泰雅語","優級","13","12","0"
41,"20211006","109","宜蘭澤敖利泰雅語","初級","158","119","64"
42,"20211006","109","宜蘭澤敖利泰雅語","中級","125","95","69"
43,"20211006","109","宜蘭澤敖利泰雅語","中高級","52","31","3"
44,"20211006","109","宜蘭澤敖利泰雅語","高級","6","4","0"
45,"20211006","109","宜蘭澤敖利泰雅語","優級","1","1","0"
46,"20211006","109","汶水泰雅語","初級","48","31","14"
47,"20211006","109","汶水泰雅語","中級","13","9","6"
48,"20211006","109","汶水泰雅語","中高級","4","4","0"
49,"20211006","109","汶水泰雅語","高級","1","0","0"
50,"20211006","109","汶水泰雅語","優級","0","0","0"
51,"20211006","109","萬大泰雅語","初級","52","40","16"
52,"20211006","109","萬大泰雅語","中級","39","32","21"
53,"20211006","109","萬大泰雅語","中高級","17","10","1"
54,"20211006","109","萬大泰雅語","高級","3","3","0"
55,"20211006","109","萬大泰雅語","優級","2","2","1"
56,"20211006","109","東排灣語","初級","865","676","284"
57,"20211006","109","東排灣語","中級","520","414","271"
58,"20211006","109","東排灣語","中高級","178","122","15"
59,"20211006","109","東排灣語","高級","35","24","0"
60,"20211006","109","東排灣語","優級","24","17","0"
61,"20211006","109","北排灣語","初級","897","708","298"
62,"20211006","109","北排灣語","中級","587","465","342"
63,"20211006","109","北排灣語","中高級","192","137","23"
64,"20211006","109","北排灣語","高級","34","26","0"
65,"20211006","109","北排灣語","優級","19","17","0"
66,"20211006","109","中排灣語","初級","508","384","162"
67,"20211006","109","中排灣語","中級","385","311","206"
68,"20211006","109","中排灣語","中高級","175","125","8"
69,"20211006","109","中排灣語","高級","26","16","0"
70,"20211006","109","中排灣語","優級","7","4","0"
71,"20211006","109","南排灣語","初級","922","676","304"
72,"20211006","109","南排灣語","中級","523","398","289"
73,"20211006","109","南排灣語","中高級","184","125","18"
74,"20211006","109","南排灣語","高級","35","23","1"
75,"20211006","109","南排灣語","優級","22","18","1"
76,"20211006","109","卓群布農語","初級","225","163","72"
77,"20211006","109","卓群布農語","中級","125","100","74"
78,"20211006","109","卓群布農語","中高級","41","27","5"
79,"20211006","109","卓群布農語","高級","8","7","1"
80,"20211006","109","卓群布農語","優級","9","8","0"
81,"20211006","109","卡群布農語","初級","93","79","49"
82,"20211006","109","卡群布農語","中級","51","42","36"
83,"20211006","109","卡群布農語","中高級","22","12","5"
84,"20211006","109","卡群布農語","高級","5","1","0"
85,"20211006","109","卡群布農語","優級","5","5","0"
86,"20211006","109","丹群布農語","初級","120","89","22"
87,"20211006","109","丹群布農語","中級","60","49","14"
88,"20211006","109","丹群布農語","中高級","26","24","0"
89,"20211006","109","丹群布農語","高級","3","1","0"
90,"20211006","109","丹群布農語","優級","10","9","0"
91,"20211006","109","巒群布農語","初級","497","371","153"
92,"20211006","109","巒群布農語","中級","238","183","134"
93,"20211006","109","巒群布農語","中高級","77","57","5"
